Q1         |            |    LRU     |            |            |   Clock    |            |            |    MRU     |            
===========+============+============+============+============+============+============+============+============+===========
 Buffers   |   Hit% 1   |   Hit% 2   |   Hit% 3   |   Hit% 1   |   Hit% 2   |   Hit% 3   |   Hit% 1   |   Hit% 2   |   Hit% 3   
    16     | 0.58284024 | 0.58284024 | 0.58284024 | 0.63510848 | 0.63510848 | 0.63510848 | 0.33925049 | 0.33925049 | 0.33925049 
    32     | 0.78994083 | 0.78994083 | 0.78994083 | 0.77909270 | 0.77909270 | 0.77909270 | 0.57495069 | 0.57889546 | 0.57889546 
    48     | 0.81755424 | 0.46850394 | 0.81755424 | 0.81065089 | 0.81065089 | 0.81065089 | 0.75147929 | 0.75147929 | 0.75147929 
    64     | 0.82741617 | 0.50787402 | 0.82741617 | 0.83826430 | 0.83826430 | 0.83826430 | 0.79684418 | 0.38582677 | 0.38582677 
    80     | 0.83629191 | 0.83629191 | 0.83629191 | 0.84714004 | 0.84714004 | 0.84714004 | 0.81656805 | 0.81656805 | 0.81656805 
    96     | 0.86489152 | 0.86489152 | 0.86489152 | 0.85502959 | 0.85502959 | 0.85502959 | 0.84812623 | 0.84812623 | 0.84812623 
   112     | 0.87080868 | 0.87080868 | 0.87080868 | 0.86785010 | 0.86785010 | 0.86785010 | 0.85700197 | 0.85700197 | 0.85700197 
   128     | 0.87080868 | 0.87080868 | 0.87080868 | 0.86982249 | 0.86982249 | 0.86982249 | 0.87080868 | 0.87080868 | 0.87080868 
   144     | 0.87080868 | 0.87080868 | 0.87080868 | 0.87080868 | 0.87080868 | 0.87080868 | 0.87080868 | 0.87080868 | 0.87080868 
   160     | 0.87080868 | 0.87080868 | 0.87080868 | 0.87080868 | 0.87080868 | 0.87080868 | 0.87080868 | 0.87080868 | 0.87080868 
   176     | 0.87080868 | 0.87080868 | 0.87080868 | 0.87080868 | 0.87080868 | 0.87080868 | 0.87080868 | 0.87080868 | 0.87080868 
   192     | 0.87080868 | 0.87080868 | 0.87080868 | 0.87080868 | 0.87080868 | 0.87080868 | 0.87080868 | 0.87080868 | 0.87080868 
   208     | 0.87080868 | 0.87080868 | 0.87080868 | 0.87080868 | 0.87080868 | 0.87080868 | 0.87080868 | 0.87080868 | 0.87080868 
   224     | 0.87080868 | 0.87080868 | 0.87080868 | 0.87080868 | 0.87080868 | 0.87080868 | 0.87080868 | 0.87080868 | 0.87080868 
   240     | 0.87080868 | 0.87080868 | 0.87080868 | 0.87080868 | 0.87080868 | 0.87080868 | 0.87080868 | 0.87080868 | 0.87080868 
   
Q2         |            |    LRU     |            |            |   Clock    |            |            |    MRU     |            
===========+============+============+============+============+============+============+============+============+===========
 Buffers   |   Hit% 1   |   Hit% 2   |   Hit% 3   |   Hit% 1   |   Hit% 2   |   Hit% 3   |   Hit% 1   |   Hit% 2   |   Hit% 3   
    16     | 0.57207207 | 0.57207207 | 0.57207207 | 0.62072072 | 0.62072072 | 0.62072072 | 0.32882883 | 0.32882883 | 0.32882883 
    32     | 0.76486486 | 0.76486486 | 0.76486486 | 0.75405405 | 0.75405405 | 0.75405405 | 0.54864865 | 0.55225225 | 0.55135135 
    48     | 0.79009009 | 0.79009009 | 0.79009009 | 0.78468468 | 0.78468468 | 0.78468468 | 0.70450450 | 0.70540541 | 0.70540541 
    64     | 0.79639640 | 0.49714286 | 0.79639640 | 0.80180180 | 0.80180180 | 0.80180180 | 0.74864865 | 0.74954955 | 0.74954955 
    80     | 0.81531532 | 0.81531532 | 0.81531532 | 0.81531532 | 0.81531532 | 0.81531532 | 0.77567568 | 0.77567568 | 0.77567568 
    96     | 0.83333333 | 0.83333333 | 0.83333333 | 0.82522523 | 0.82522523 | 0.82522523 | 0.80990991 | 0.80990991 | 0.80990991 
   112     | 0.83963964 | 0.83963964 | 0.83963964 | 0.84774775 | 0.84774775 | 0.84774775 | 0.82792793 | 0.82792793 | 0.82792793 
   128     | 0.84144144 | 0.84144144 | 0.84144144 | 0.84954955 | 0.84954955 | 0.84954955 | 0.85585586 | 0.85585586 | 0.85585586 
   144     | 0.85585586 | 0.85585586 | 0.85585586 | 0.85585586 | 0.85585586 | 0.85585586 | 0.85585586 | 0.85585586 | 0.85585586 
   160     | 0.85585586 | 0.85585586 | 0.85585586 | 0.85585586 | 0.85585586 | 0.85585586 | 0.85585586 | 0.85585586 | 0.85585586 
   176     | 0.85585586 | 0.85585586 | 0.85585586 | 0.85585586 | 0.85585586 | 0.85585586 | 0.85585586 | 0.85585586 | 0.85585586 
   192     | 0.85585586 | 0.85585586 | 0.85585586 | 0.85585586 | 0.85585586 | 0.85585586 | 0.85585586 | 0.85585586 | 0.85585586 
   208     | 0.85585586 | 0.85585586 | 0.85585586 | 0.85585586 | 0.85585586 | 0.85585586 | 0.85585586 | 0.85585586 | 0.85585586 
   224     | 0.85585586 | 0.85585586 | 0.85585586 | 0.85585586 | 0.85585586 | 0.85585586 | 0.85585586 | 0.85585586 | 0.85585586 
   240     | 0.85585586 | 0.85585586 | 0.85585586 | 0.85585586 | 0.85585586 | 0.85585586 | 0.85585586 | 0.85585586 | 0.68571429 
